date,open,high,low,close,val,closing_range,chg
2024-10-21,1493.08 ,1494.67 ,1482.75 ,1488.74 ,41490587.00 ,50.25%,-0.07%
2024-10-22,1485.81 ,1487.80 ,1469.50 ,1470.32 ,56985607.00 ,4.48%,-1.24%
2024-10-24,1466.27 ,1476.58 ,1458.67 ,1460.64 ,53884345.00 ,11.00%,-0.66%
2024-10-25,1463.77 ,1468.79 ,1456.59 ,1463.42 ,40231359.00 ,55.98%,0.19%
2024-10-28,1464.12 ,1465.86 ,1449.73 ,1453.03 ,45838531.00 ,20.46%,-0.71%
2024-10-29,1453.90 ,1461.93 ,1449.24 ,1451.16 ,40833236.00 ,15.13%,-0.13%
2024-10-30,1448.95 ,1456.02 ,1443.21 ,1447.20 ,39441555.00 ,31.15%,-0.27%
2024-10-31,1446.26 ,1468.45 ,1446.26 ,1466.04 ,42731147.00 ,89.14%,1.30%
2024-11-01,1464.17 ,1466.91 ,1459.26 ,1464.17 ,32808441.00 ,64.18%,-0.13%
2024-11-04,1467.97 ,1473.28 ,1461.46 ,1462.95 ,28372574.00 ,12.61%,-0.08%
2024-11-05,1464.55 ,1486.24 ,1462.63 ,1481.67 ,39199402.00 ,80.64%,1.28%
2024-11-06,1484.38 ,1487.58 ,1463.43 ,1467.42 ,57012467.00 ,16.52%,-0.96%
2024-11-07,1469.71 ,1478.77 ,1468.58 ,1468.82 ,55243300.00 ,2.36%,0.10%
2024-11-08,1473.19 ,1474.13 ,1458.39 ,1464.69 ,49099315.00 ,40.03%,-0.28%
2024-11-11,1463.75 ,1464.72 ,1452.83 ,1456.47 ,38835686.00 ,30.61%,-0.56%
2024-12-11,1455.90 ,1460.13 ,1443.32 ,1445.07 ,42548507.00 ,10.41%,-0.78%
2024-11-13,1447.82 ,1462.81 ,1447.82 ,1451.47 ,45632712.00 ,24.35%,0.44%
2024-11-14,1450.01 ,1461.99 ,1441.15 ,1450.12 ,58648765.00 ,43.04%,-0.09%
2024-11-15,1455.81 ,1458.32 ,1436.79 ,1442.63 ,48573629.00 ,27.12%,-0.52%
2024-11-18,1448.30 ,1456.57 ,1442.16 ,1452.78 ,38325702.00 ,73.70%,0.70%
2024-11-19,1460.25 ,1471.48 ,1458.91 ,1460.11 ,46004956.00 ,9.55%,0.50%
2024-11-20,1462.65 ,1462.65 ,1454.75 ,1462.48 ,34647161.00 ,97.85%,0.16%
2024-11-21,1442.73 ,1451.99 ,1436.82 ,1440.38 ,41423572.00 ,23.47%,-1.51%
2024-11-22,1445.17 ,1451.52 ,1435.78 ,1446.30 ,45577498.00 ,66.84%,0.41%
2024-11-25,1452.77 ,1455.39 ,1441.86 ,1443.31 ,50193576.00 ,10.72%,-0.21%
2024-11-26,1442.27 ,1448.59 ,1435.68 ,1438.25 ,36084195.00 ,19.91%,-0.35%
2024-11-27,1436.32 ,1437.27 ,1425.93 ,1430.40 ,36613782.00 ,39.42%,-0.55%
2024-11-28,1430.31 ,1433.28 ,1422.19 ,1428.01 ,35317122.00 ,52.48%,-0.17%
2024-11-29,1429.02 ,1433.03 ,1422.88 ,1427.54 ,40169078.00 ,45.91%,-0.03%
2024-12-02,1430.55 ,1437.11 ,1421.18 ,1437.11 ,35165084.00 ,100.00%,0.67%
2024-12-03,1441.43 ,1455.84 ,1441.43 ,1454.76 ,46666826.00 ,92.51%,1.23%
2024-12-04,1455.16 ,1457.52 ,1448.74 ,1450.82 ,37606574.00 ,23.69%,-0.27%
2024-12-06,1450.05 ,1454.59 ,1448.75 ,1451.96 ,43646288.00 ,54.97%,0.08%
2024-12-09,1448.94 ,1450.41 ,1441.99 ,1447.53 ,35743920.00 ,65.80%,-0.31%
2024-12-11,1444.95 ,1454.12 ,1441.96 ,1443.05 ,36082064.00 ,8.96%,-0.31%
